SystemID,systemname,districtwebsite,phone_number,street,city,state,zip_code,Grade,SingleScore,PPE,Four_Year_Graduation_Rate,enroll_percent_asian,enroll_percent_native,enroll_percent_black,enroll_percent_hispanic,enroll_percent_multiracial,enroll_percent_white,enroll_percent_ed,enroll_percent_swd,enroll_percent_lep,total_enroll,CollegeEnrollment,Mobility,_merge
742,Turner County,http://www.turner.k12.ga.us/,(229)567-3338,423 N. Cleveland Street,Ashburn,GA,31714,,,,94.2,1,0,64,5,2,28,100,13.39999962,1,1198,,14.6,master only (1)
743,Twiggs County,http://www.twiggs.k12.ga.us/,(478)945-3127,952 Main Street,Jeffersonville,GA,31044,,,,85.1,0,0,61,3,1,35,91,12,1,785,,12.7,master only (1)
744,Union County,http://www.ucschools.org/,(706)745-2322,124 Hughes St.,Blairsville,GA,30512,,,,98.5,0,0,1,4,3,92,51,14.39999962,1,2868,,8.4,master only (1)
745,Thomaston-Upson County,http://www.upson.k12.ga.us/,(706)647-9621,205 Civic Center Drive,Thomaston,GA,30286,,,,88.7,1,0,36,4,5,55,84,13.69999981,1,4144,,11.6,master only (1)
746,Walker County,http://www.walkerschools.org/,(706)638-1240,201 South Duke Street,LaFayette,GA,30728,,,,90.7,0,0,5,4,5,85,68,18.70000076,2,8680,,12.5,master only (1)
747,Walton County,http://www.walton.k12.ga.us/default.aspx,(770)266-4520,200 Double Springs Church Rd,Monroe,GA,30656,,,,91.8,2,0,23,9,4,62,46,10.30000019,5,14208,,12.1,master only (1)
748,Ware County,https://www.ware.k12.ga.us/,(912)283-8656,1301 Bailey Street,Waycross,GA,31501,,,,91.7,1,0,37,7,6,50,82,17,3,6206,,15.7,master only (1)
749,Warren County,http://www.warren.k12.ga.us/,(706)465-3383,115 Gibson Highway,Warrenton,GA,30828,,,,90.7,0,0,89,0,3,8,100,16.29999924,0,626,,8.5,master only (1)
750,Washington County,http://www.washington.k12.ga.us/,(478)552-3981,501 Industrial Drive,Sandersville,GA,31082,,,,90,0,0,66,1,3,29,86,13.39999962,1,3084,,6.6,master only (1)
751,Wayne County,http://www.wayne.k12.ga.us/,(912)427-1000,710 W. Pine Street ,Jesup,GA,31545,,,,92.3,1,0,22,10,5,62,70,15.60000038,4,5373,,14.5,master only (1)
752,Webster County,http://www.websterbobcats.org/,(229)828-3315,7307 Washington Street,Preston,GA,31824,,,,91.3,0,0,51,6,3,39,91,12.80000019,2,292,,19,master only (1)
753,Wheeler County,http://www.wheelercountyschools.org/,(912)568-7198,18 McRae Street,Alamo,GA,30411,,,,91,0,0,35,6,0,58,89,14.39999962,5,1000,,11.9,master only (1)
754,White County,http://www.white.k12.ga.us/,(706)865-2315,136 Warriors Path,Cleveland,GA,30528,,,,93.6,0,0,2,6,4,88,55,14.10000038,3,3855,,9.2,master only (1)
755,Whitfield County,http://www.whitfield.k12.ga.us/,(706)217-6712,1306 S. Thornton Ave.,Dalton,GA,30720,,,,86.8,1,0,1,44,3,50,70,14.39999962,22,12873,,10.7,master only (1)
756,Wilcox County,http://www.wilcox.k12.ga.us/,(229)467-2141,395 College Street West,Abbeville,GA,31001,,,,95.3,1,0,33,5,3,59,88,12.80000019,1,1217,,9.5,master only (1)
757,Wilkes County,http://www.wilkes.k12.ga.us/,(706)678-2718,313A North Alexander Ave.,Washington,GA,30673,,,,82,1,0,48,9,6,36,94,11.5,4,1430,,7.8,master only (1)
758,Wilkinson County,http://www.wilkinson.k12.ga.us/,(478)946-5521,197 W. Main Street,Irwinton,GA,31042,,,,94.1,0,0,55,6,7,32,89,11.39999962,2,1235,,10.5,master only (1)
759,Worth County,http://www.worthschools.net/,(229)776-8600,103 Eldridge Street,Sylvester,GA,31791,,,,75.5,1,0,35,3,4,58,100,8.800000191,2,3181,,13.5,master only (1)
761,Atlanta Public Schools,https://www.atlantapublicschools.us/,(404)802-3500,130 Trinity Ave. SW,Atlanta,GA,30303,,,,80.3,1,0,72,8,2,17,78,11.69999981,5,52416,,20.1,master only (1)
763,Bremen City,http://www.bremencs.com/,(770)537-5508,504 Laurel Street,Bremen,GA,30110,,,,97.1,2,0,5,2,3,89,17,9.699999809,0,2307,,5.1,master only (1)
764,Buford City,http://www.bufordcityschools.org/,(770)945-5035,2625 Sawnee Ave,Buford,GA,30518,,,,92.8,4,0,11,28,5,51,34,8.699999809,17,5177,,6.3,master only (1)
765,Calhoun City,http://www.calhounschools.org/site/default.aspx?PageID=1,(706)629-2900,334 South Wall Street,Calhoun,GA,30701,,,,100,2,0,6,37,4,50,58,9.399999619,19,4212,,7.7,master only (1)
766,Carrollton City,http://www.carrolltoncityschools.net/,(770)832-9633,106 Trojan Drive,Carrollton,GA,30117,,,,90.7,2,0,32,21,6,39,55,11.5,10,5441,,8.6,master only (1)
767,Cartersville City,http://www.cartersville.k12.ga.us/,(770)382-5880,15 Nelson Street,Cartersville,GA,30120,,,,90.5,2,0,21,21,5,50,52,10.5,14,4671,,9.9,master only (1)
769,Chickamauga City,http://www.chickamaugacityschools.org/,(706)382-3100,402 Cove Road,Chickamauga,GA,30707,,,,99,1,0,0,2,2,95,20,7.699999809,0,1283,,3.3,master only (1)
771,Commerce City,http://www.commerce-city.k12.ga.us/,(706)335-5500,270 Lakeview Drive,Commerce,GA,30529,,,,91.7,1,0,9,15,6,69,54,12.30000019,8,1699,,8.9,master only (1)
772,Dalton City,http://www.daltonpublicschools.com/,(706)876-4041,300 West Waugh Street,Dalton,GA,30722,,,,80,2,0,5,71,2,19,73,11.39999962,29,7883,,9.8,master only (1)
773,Decatur City,http://www.csdecatur.net/,(404)371-3601,125 Electric Ave,Decatur,GA,30030,,,,94.9,4,0,19,5,8,64,11,8.800000191,3,5874,,3.9,master only (1)
774,Dublin City,http://www.dublincityschools.us/,(478)353-8000,207 Shamrock Dr.,Dublin,GA,31021,,,,93.9,1,0,92,2,2,3,100,12.30000019,1,2296,,20,master only (1)
776,Gainesville City,http://www.gcssk12.net/,(770)536-5275,508 Oak Street NW,Gainesville,GA,30501,,,,86.1,4,0,17,62,3,14,70,8.800000191,43,8079,,12.6,master only (1)
779,Jefferson City,http://main.jeffcityschools.org/,(706)367-2880,345 Storey Lane,Jefferson,GA,30549,,,,99.3,2,0,8,8,4,78,23,10.60000038,3,4003,,6.3,master only (1)
781,Marietta City,http://www.marietta-city.org/site/default.aspx?PageID=1,(770)422-3500,250 Howard Street,Marietta,GA,30060,,,,83.7,2,0,35,39,4,20,60,10.30000019,25,8877,,16.5,master only (1)
784,Pelham City,http://www.pelham-city.k12.ga.us/,(229)294-8715,203 Mathewson Ave.,Pelham,GA,31779,,,,86.1,1,0,58,6,2,34,100,12.69999981,3,1429,,9.5,master only (1)
785,Rome City,http://www.rcs.rome.ga.us/site/default.aspx?PageID=1,(706)236-5050,508 East 2nd Street,Rome,GA,30161,,,,93,3,0,34,36,5,23,88,9.600000381,20,6452,,13.4,master only (1)
786,Social Circle City,http://www.socialcircleschools.com/,(770)464-2731,147 Alcova Drive,Social Circle,GA,30025,,,,94.5,1,0,20,4,3,71,42,10.30000019,1,1798,,10.6,master only (1)
789,Thomasville City,http://www.tcitys.org/,(229)225-2600,404 N. Broad St,Thomasville,GA,31792,,,,78.4,1,0,57,2,2,38,69,13.60000038,1,2796,,12.1,master only (1)
791,Trion City,http://www.trionschools.org/,(706)734-2363,239 Simmons Street,Trion,GA,30753,,,,99.1,1,0,1,21,3,74,52,7.699999809,9,1376,,4.7,master only (1)
792,Valdosta City,http://www.gocats.org/,(229)333-8500,1204 Williams St.,Valdosta,GA,31601,,,,90.5,1,0,75,7,3,13,95,12.69999981,4,8427,,25.9,master only (1)
793,Vidalia City,http://www.vidalia-city.k12.ga.us/,(912)537-3088,1001 North Street,Vidalia,GA,30474,,,,93.8,1,0,49,7,4,39,82,11.80000019,2,2566,,11.5,master only (1)
7820108,Attendance Zone,http://www.mymec.org/,,,,,,,,,83.8,,,,,,,,,,,,,matched (3)
7820110,Attendance Zone,http://www.odysseycharterschool.net/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7820120,Attendance Zone,http://www.georgiacyber.org,,,,,,,,,83.8,,,,,,,,,,,,,matched (3)
7820121,Attendance Zone,http://www.utopianacademyforthearts.com/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7820212,Attendance Zone,http://www.cherokeecharter.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7820412,Attendance Zone,http://www.connectionsacademy.com/georgia-virtual-school/home.aspx,,,,,,,,,83.8,,,,,,,,,,,,,matched (3)
7820612,Attendance Zone,https://www.ivyprepacademy.org/kirkwood-for-girls,,,,,,,,,,,,,,,,,,,,,,matched (3)
7820613,Attendance Zone,http://www.foothillscharter.org/,,,,,,,,,83.8,,,,,,,,,,,,,matched (3)
7820614,Attendance Zone,http://www.icsatlanta.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7820615,Attendance Zone,http://www.scintillacharteracademy.com/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7820616,Attendance Zone,http://www.gsiccharter.com/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7820617,Attendance Zone,http://www.duboisintegrityacademy.org/home-1.html,,,,,,,,,,,,,,,,,,,,,,matched (3)
7820618,Attendance Zone,http://www.coastalplainscharter.org/,,,,,,,,,83.8,,,,,,,,,,,,,matched (3)
7830103,Attendance Zone,https://www.statesborosteam.org/,,,,,,,,,83.5,,,,,,,,,,,,,matched (3)
7830210,Attendance Zone,https://www.pataula.net/,,,,,,,,,86.4,,,,,,,,,,,,,matched (3)
7830310,Attendance Zone,https://www.fultonleadershipacademy.net/,,,,,,,,,81.7,,,,,,,,,,,,,matched (3)
7830410,Attendance Zone,http://www.nhaschools.com/schools/atlantaheights/en/pages/default.aspx,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830610,Attendance Zone,http://www.cowetacharter.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830611,Attendance Zone,http://www.cirrusacademy.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830612,Attendance Zone,https://www.swgeorgiastemcharter.com/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830613,Attendance Zone,https://biaschool.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830614,Attendance Zone,https://www.libertytechcharter.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830615,Attendance Zone,https://www.genesisinnovationacademy.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830616,Attendance Zone,https://www.genesisinnovationacademy.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830617,Attendance Zone,http://www.resurgencehall.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830618,Attendance Zone,https://www.sailga.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830619,Attendance Zone,http://www.iasmyrna.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830620,Attendance Zone,https://www.internationalcharteracademy.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830621,Attendance Zone,https://www.slamatlanta.com/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830623,Attendance Zone,https://www.acemacon.org/,,,,,,,,,83.8,,,,,,,,,,,,,matched (3)
7830624,Attendance Zone,https://www.sccak12.net/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830628,Attendance Zone,https://ethosclassical.org/,,,,,,,,,,,,,,,,,,,,,,matched (3)
7830630,Attendance Zone,,,,,,,,,,84.3,,,,,,,,,,,,,matched (3)
