"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","INEXPERIENCED_FTE","INEXPERIENCED_FTE_PCT"
"2017-18","Cherokee County","Cherokee County- All Schools","Teachers","Low Poverty",2402.7,862.6,36
"2017-18","Cherokee County","Cherokee County- All Schools","Teachers","Total",2804.7,996.6,36
"2017-18","Cherokee County","Cherokee High School","Leaders","Low Poverty",6.5,4.5,69
"2017-18","Cherokee County","Cherokee High School","Teachers","Low Poverty",295,187.5,64
"2017-18","Cherokee County","Cherokee High School","Teachers","Total",295,187.5,64
"2017-18","Cherokee County","Clark Creek Elementary School","Leaders","Low Poverty",3,1,33
"2017-18","Cherokee County","Clark Creek Elementary School","Teachers","Total",75.4,36,48
"2017-18","Cherokee County","Clayton Elementary School","Leaders","Low Poverty",1,0,0
"2017-18","Cherokee County","Clayton Elementary School","Teachers","Low Poverty",19.2,4.5,23
"2017-18","Cherokee County","Clayton Elementary School","Teachers","Total",19.2,4.5,23
"2017-18","Cherokee County","Creekland Middle School","Leaders","Low Poverty",4,3,75
"2017-18","Cherokee County","Creekland Middle School","Teachers","Low Poverty",102.7,44,43
"2017-18","Cherokee County","Creekland Middle School","Teachers","Total",102.7,44,43
"2017-18","Cherokee County","Creekview High School","Leaders","Low Poverty",4.5,2.5,56
"2017-18","Cherokee County","Creekview High School","Teachers","Low Poverty",234.3,156,67
"2017-18","Cherokee County","Creekview High School","Teachers","Total",234.3,156,67
"2017-18","Cherokee County","Dean Rusk Middle School","Leaders","Low Poverty",4,1,25
"2017-18","Cherokee County","Dean Rusk Middle School","Teachers","Low Poverty",103.7,59,57
"2017-18","Cherokee County","Dean Rusk Middle School","Teachers","Total",103.7,59,57
"2017-18","Cherokee County","E. T. Booth Middle School","Leaders","Low Poverty",5,0,0
"2017-18","Cherokee County","E. T. Booth Middle School","Teachers","Low Poverty",116.6,49.5,42
"2017-18","Cherokee County","E. T. Booth Middle School","Teachers","Total",116.6,49.5,42
"2017-18","Cherokee County","Etowah High School","Leaders","Low Poverty",5.5,3,55
"2017-18","Cherokee County","Etowah High School","Teachers","Low Poverty",268.2,185.3,69
"2017-18","Cherokee County","Etowah High School","Teachers","Total",268.2,185.3,69
"2017-18","Cherokee County","Free Home Elementary School","Leaders","Low Poverty",1,0,0
"2017-18","Cherokee County","Free Home Elementary School","Teachers","Low Poverty",22.9,8,35
"2017-18","Cherokee County","Free Home Elementary School","Teachers","Total",22.9,8,35
"2017-18","Cherokee County","Freedom Middle School","Leaders","Low Poverty",3,0,0
"2017-18","Cherokee County","Freedom Middle School","Teachers","Low Poverty",83.6,33,39
"2017-18","Cherokee County","Freedom Middle School","Teachers","Total",83.6,33,39
"2017-18","Cherokee County","Hickory Flat Elementary School","Leaders","Low Poverty",2,1,50
"2017-18","Cherokee County","Hickory Flat Elementary School","Teachers","Low Poverty",33.9,11,32
"2017-18","Cherokee County","Hickory Flat Elementary School","Teachers","Total",33.9,11,32
"2017-18","Cherokee County","Holly Springs Elementary School","Leaders","Low Poverty",3,1,33
"2017-18","Cherokee County","Holly Springs Elementary School","Teachers","Low Poverty",55,24,44
"2017-18","Cherokee County","Holly Springs Elementary School","Teachers","Total",55,24,44
"2017-18","Cherokee County","Indian Knoll Elementary","Leaders","Low Poverty",3,1,33
"2017-18","Cherokee County","Indian Knoll Elementary","Teachers","Low Poverty",59,13,22
"2017-18","Cherokee County","Indian Knoll Elementary","Teachers","Total",59,13,22
"2017-18","Cherokee County","J. Knox Elementary","Leaders","Low Poverty",3,1,33
"2017-18","Cherokee County","J. Knox Elementary","Teachers","Low Poverty",49.5,9,18
"2017-18","Cherokee County","J. Knox Elementary","Teachers","Total",49.5,9,18
"2017-18","Cherokee County","Johnston Elementary School","Leaders","Low Poverty",2,1,50
"2017-18","Cherokee County","Johnston Elementary School","Teachers","Low Poverty",41,17,41
"2017-18","Cherokee County","Johnston Elementary School","Teachers","Total",41,17,41
"2017-18","Cherokee County","Liberty Elementary School","Leaders","Low Poverty",3,0,0
"2017-18","Cherokee County","Liberty Elementary School","Teachers","Low Poverty",73,15,21
"2017-18","Cherokee County","Liberty Elementary School","Teachers","Total",73,15,21
"2017-18","Cherokee County","Little River Elem.","Leaders","Low Poverty",4,1,25
"2017-18","Cherokee County","Little River Elem.","Teachers","Low Poverty",87,29,33
"2017-18","Cherokee County","Little River Elem.","Teachers","Total",87,29,33
"2017-18","Cherokee County","Macedonia Elementary School","Leaders","Low Poverty",3,1,33
"2017-18","Cherokee County","Macedonia Elementary School","Teachers","Low Poverty",47,6,13
"2017-18","Cherokee County","Macedonia Elementary School","Teachers","Total",47,6,13
"2017-18","Cherokee County","Mill Creek Middle School","Leaders","Low Poverty",4,0,0
"2017-18","Cherokee County","Mill Creek Middle School","Teachers","Low Poverty",98.8,40.6,41
"2017-18","Cherokee County","Mill Creek Middle School","Teachers","Total",98.8,40.6,41
"2017-18","Cherokee County","Mountain Road Elementary School","Leaders","Low Poverty",1,0,0
"2017-18","Cherokee County","Mountain Road Elementary School","Teachers","Low Poverty",33.6,15,45
"2017-18","Cherokee County","Mountain Road Elementary School","Teachers","Total",33.6,15,45
"2017-18","Cherokee County","Oak Grove Elementary School","Leaders","Not Applicable",2,1,50
"2017-18","Cherokee County","Oak Grove Elementary School","Teachers","Total",40.3,10,25
"2017-18","Cherokee County","R. M. Moore Elementary School","Leaders","Not Applicable",1,0,0
"2017-18","Cherokee County","R. M. Moore Elementary School","Teachers","Total",30.4,5,16
"2017-18","Cherokee County","River Ridge High School","Leaders","Low Poverty",4.5,3.5,78
"2017-18","Cherokee County","River Ridge High School","Teachers","Low Poverty",196,135.3,69
"2017-18","Cherokee County","River Ridge High School","Teachers","Total",196,135.3,69
"2017-18","Cherokee County","Sequoyah High School","Leaders","Low Poverty",4.5,2,44
"2017-18","Cherokee County","Sequoyah High School","Teachers","Low Poverty",252.1,189.8,75
"2017-18","Cherokee County","Sequoyah High School","Teachers","Total",252.1,189.8,75
"2017-18","Cherokee County","Sixes Elementary School","Leaders","Low Poverty",2,0,0
"2017-18","Cherokee County","Sixes Elementary School","Teachers","Low Poverty",47.3,10,21
"2017-18","Cherokee County","Sixes Elementary School","Teachers","Total",47.3,10,21
"2017-18","Cherokee County","Teasley Middle School","Leaders","Not Applicable",4,2,50
"2017-18","Cherokee County","Teasley Middle School","Teachers","Total",121.5,43.5,36
"2017-18","Cherokee County","William G. Hasty, Sr. Elementary School","Leaders","Not Applicable",3,1,33
"2017-18","Cherokee County","William G. Hasty, Sr. Elementary School","Teachers","Total",82.3,29,35
"2017-18","Cherokee County","Woodstock Elementary School","Leaders","Low Poverty",3,0,0
"2017-18","Cherokee County","Woodstock Elementary School","Teachers","Low Poverty",70,14,20
"2017-18","Cherokee County","Woodstock Elementary School","Teachers","Total",70,14,20
"2017-18","Cherokee County","Woodstock High School","Leaders","Low Poverty",5.5,3.5,64
"2017-18","Cherokee County","Woodstock High School","Teachers","Low Poverty",224.8,142,63
"2017-18","Cherokee County","Woodstock High School","Teachers","Total",224.8,142,63
"2017-18","Cherokee County","Woodstock Middle School","Leaders","Low Poverty",3,2,67
"2017-18","Cherokee County","Woodstock Middle School","Teachers","Low Poverty",92,42,46
"2017-18","Cherokee County","Woodstock Middle School","Teachers","Total",92,42,46
"2017-18","Chickamauga City","Chickamauga City- All Schools","Leaders","Low Poverty",4.9,2.5,50
"2017-18","Chickamauga City","Chickamauga City- All Schools","Leaders","Total",4.9,2.5,50
"2017-18","Chickamauga City","Chickamauga City- All Schools","Teachers","Low Poverty",83.5,22,26
"2017-18","Chickamauga City","Chickamauga City- All Schools","Teachers","Total",83.5,22,26
"2017-18","Chickamauga City","Chickamauga Elementary School","Leaders","Low Poverty",1.5,0.5,33
"2017-18","Chickamauga City","Chickamauga Elementary School","Teachers","Low Poverty",33.5,8.5,25
"2017-18","Chickamauga City","Chickamauga Elementary School","Teachers","Total",33.5,8.5,25
"2017-18","Chickamauga City","Gordon Lee High School","Leaders","Low Poverty",2,2,100
"2017-18","Chickamauga City","Gordon Lee High School","Teachers","Low Poverty",30,12.6,42
"2017-18","Chickamauga City","Gordon Lee High School","Teachers","Total",30,12.6,42
"2017-18","Chickamauga City","Gordon Lee Middle School","Leaders","Low Poverty",1.5,0,0
"2017-18","Chickamauga City","Gordon Lee Middle School","Teachers","Low Poverty",20,1,5
"2017-18","Chickamauga City","Gordon Lee Middle School","Teachers","Total",20,1,5
"2017-18","Clarke County","Alps Road Elementary School","Leaders","Not Applicable",2,1,50
"2017-18","Clarke County","Alps Road Elementary School","Teachers","Total",38,22.5,59
"2017-18","Clarke County","Barnett Shoals Elementary School","Leaders","Not Applicable",2,1,50
"2017-18","Clarke County","Barnett Shoals Elementary School","Teachers","Total",52,21,40
"2017-18","Clarke County","Barrow Elementary School","Leaders","Not Applicable",2,0,0
"2017-18","Clarke County","Barrow Elementary School","Teachers","Total",63,29.5,47
"2017-18","Clarke County","Burney-Harris-Lyons Middle School","Leaders","Not Applicable",2,2,100
"2017-18","Clarke County","Burney-Harris-Lyons Middle School","Teachers","Total",54,31,57
"2017-18","Clarke County","Cedar Shoals High School","Leaders","Not Applicable",3,3,100
"2017-18","Clarke County","Cedar Shoals High School","Teachers","Total",125,77,62
"2017-18","Clarke County","Chase Street Elementary School","Leaders","Not Applicable",2,0,0
"2017-18","Clarke County","Chase Street Elementary School","Teachers","Total",51.5,17,33
"2017-18","Clarke County","Clarke Central High School","Leaders","Not Applicable",4,1,25
"2017-18","Clarke County","Clarke Central High School","Teachers","Total",140.5,76.5,54
"2017-18","Clarke County","Clarke County- All Schools","Leaders","Total",44.5,19,43
"2017-18","Clarke County","Clarke County- All Schools","Teachers","Total",1101.4,478,43
"2017-18","Clarke County","Clarke Middle School","Leaders","Not Applicable",1.5,0.5,33
"2017-18","Clarke County","Clarke Middle School","Teachers","Total",65.5,31,47
"2017-18","Clarke County","Classic City High School","Leaders","Not Applicable",1,0,0
"2017-18","Clarke County","Classic City High School","Teachers","Total",12.5,5.5,44
"2017-18","Clarke County","Cleveland Road Elementary School","Leaders","Not Applicable",2,1,50
"2017-18","Clarke County","Cleveland Road Elementary School","Teachers","Total",33.5,19,57
"2017-18","Clarke County","Coile Middle School","Leaders","Not Applicable",2,1.5,75
"2017-18","Clarke County","Coile Middle School","Teachers","Total",55,30,55
"2017-18","Clarke County","Fowler Drive Elementary School","Leaders","Not Applicable",2,0.5,25
"2017-18","Clarke County","Fowler Drive Elementary School","Teachers","Total",45.5,20.5,45
"2017-18","Clarke County","Gaines Elementary School","Leaders","Not Applicable",2,1,50
"2017-18","Clarke County","Gaines Elementary School","Teachers","Total",56,34,61
"2017-18","Clarke County","Hilsman Middle School","Leaders","Not Applicable",2,1,50
"2017-18","Clarke County","Hilsman Middle School","Teachers","Total",68,35,51
"2017-18","Clarke County","Howard B. Stroud Elementary School","Leaders","Not Applicable",2,1,50
"2017-18","Clarke County","Howard B. Stroud Elementary School","Teachers","Total",50,25,50
"2017-18","Clarke County","Judia Jackson Harris Elementary","Leaders","Not Applicable",2,0.5,25
"2017-18","Clarke County","Judia Jackson Harris Elementary","Teachers","Total",55,28,51
"2017-18","Clarke County","Oglethorpe Avenue Elementary School","Leaders","Not Applicable",2,0,0
"2017-18","Clarke County","Oglethorpe Avenue Elementary School","Teachers","Total",68,34,50
"2017-18","Clarke County","Timothy Elementary School","Leaders","Not Applicable",2,0,0
"2017-18","Clarke County","Timothy Elementary School","Teachers","Total",55.5,22.5,41
"2017-18","Clarke County","Whit Davis Road Elementary School","Leaders","Not Applicable",2,2,100
"2017-18","Clarke County","Whit Davis Road Elementary School","Teachers","Total",57,28,49
"2017-18","Clarke County","Whitehead Road Elementary School","Leaders","Not Applicable",3,2,67
"2017-18","Clarke County","Whitehead Road Elementary School","Teachers","Total",60,17,28
"2017-18","Clarke County","Winterville Elementary School","Leaders","Not Applicable",2,0,0
"2017-18","Clarke County","Winterville Elementary School","Teachers","Total",46,26,57
"2017-18","Clay County","Clay County Elementary","Leaders","High Poverty",1.5,0.5,33
"2017-18","Clay County","Clay County Elementary","Teachers","High Poverty",14.6,6,41
"2017-18","Clay County","Clay County Elementary","Teachers","Total",14.6,6,41
"2017-18","Clay County","Clay County Middle School","Leaders","High Poverty",1.5,0.5,33
"2017-18","Clay County","Clay County Middle School","Teachers","High Poverty",13.3,9,68
"2017-18","Clay County","Clay County Middle School","Teachers","Total",13.3,9,68
"2017-18","Clay County","Clay County- All Schools","Leaders","High Poverty",3,1,33
"2017-18","Clay County","Clay County- All Schools","Leaders","Total",3,1,33
"2017-18","Clay County","Clay County- All Schools","Teachers","High Poverty",27,14,52
"2017-18","Clay County","Clay County- All Schools","Teachers","Total",27,14,52
"2017-18","Clayton County","Adamson Middle School","Leaders","High Poverty",3,2,67
"2017-18","Clayton County","Adamson Middle School","Teachers","High Poverty",66.5,43,65
"2017-18","Clayton County","Adamson Middle School","Teachers","Total",66.5,43,65
"2017-18","Clayton County","Anderson Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Anderson Elementary School","Teachers","High Poverty",64.5,51,79
"2017-18","Clayton County","Anderson Elementary School","Teachers","Total",64.5,51,79
"2017-18","Clayton County","Arnold Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Clayton County","Arnold Elementary School","Teachers","High Poverty",64.5,37,57
"2017-18","Clayton County","Arnold Elementary School","Teachers","Total",64.5,37,57
"2017-18","Clayton County","Babb Middle School","Leaders","High Poverty",3,1,33
"2017-18","Clayton County","Babb Middle School","Teachers","High Poverty",103,68,66
"2017-18","Clayton County","Babb Middle School","Teachers","Total",103,68,66
"2017-18","Clayton County","Brown Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Clayton County","Brown Elementary School","Teachers","High Poverty",89.5,53,59
"2017-18","Clayton County","Brown Elementary School","Teachers","Total",89.5,53,59
"2017-18","Clayton County","Callaway Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Callaway Elementary School","Teachers","High Poverty",96,64,67
"2017-18","Clayton County","Callaway Elementary School","Teachers","Total",96,64,67
"2017-18","Clayton County","Charles R. Drew High School","Leaders","High Poverty",5,2,40
"2017-18","Clayton County","Charles R. Drew High School","Teachers","High Poverty",160,120,75
"2017-18","Clayton County","Charles R. Drew High School","Teachers","Total",160,120,75
"2017-18","Clayton County","Church Street Elementary School","Leaders","High Poverty",3,1,33
"2017-18","Clayton County","Church Street Elementary School","Teachers","High Poverty",125.5,96,76
"2017-18","Clayton County","Church Street Elementary School","Teachers","Total",125.5,96,76
"2017-18","Clayton County","Clayton County- All Schools","Leaders","High Poverty",172,50.5,29
"2017-18","Clayton County","Clayton County- All Schools","Leaders","Total",173,51.5,30
"2017-18","Clayton County","Clayton County- All Schools","Teachers","High Poverty",3674,1854,50
"2017-18","Clayton County","Clayton County- All Schools","Teachers","Total",3701,1880,51
"2017-18","Clayton County","East Clayton Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Clayton County","East Clayton Elementary School","Teachers","High Poverty",75,54,72
"2017-18","Clayton County","East Clayton Elementary School","Teachers","Total",75,54,72
"2017-18","Clayton County","Eddie White Academy","Leaders","High Poverty",4,2,50
"2017-18","Clayton County","Eddie White Academy","Teachers","High Poverty",183.3,143,78
"2017-18","Clayton County","Eddie White Academy","Teachers","Total",183.3,143,78
"2017-18","Clayton County","Edmonds Elementary School","Leaders","High Poverty",2,0.5,25
"2017-18","Clayton County","Edmonds Elementary School","Teachers","High Poverty",66.5,48,72
"2017-18","Clayton County","Edmonds Elementary School","Teachers","Total",66.5,48,72
"2017-18","Clayton County","Elite Scholars Academy School","Leaders","High Poverty",3,1,33
"2017-18","Clayton County","Elite Scholars Academy School","Teachers","High Poverty",42,19,45
"2017-18","Clayton County","Elite Scholars Academy School","Teachers","Total",42,19,45
"2017-18","Clayton County","Forest Park High School","Leaders","High Poverty",5,1,20
"2017-18","Clayton County","Forest Park High School","Teachers","High Poverty",198,148,75
"2017-18","Clayton County","Forest Park High School","Teachers","Total",198,148,75
"2017-18","Clayton County","Forest Park Middle School","Leaders","High Poverty",3,0,0
"2017-18","Clayton County","Forest Park Middle School","Teachers","High Poverty",91,78,86
"2017-18","Clayton County","Forest Park Middle School","Teachers","Total",91,78,86
"2017-18","Clayton County","Fountain Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Fountain Elementary School","Teachers","High Poverty",84.5,58,69
"2017-18","Clayton County","Fountain Elementary School","Teachers","Total",84.5,58,69
"2017-18","Clayton County","Harper Elementary School","Leaders","High Poverty",3,1,33
"2017-18","Clayton County","Harper Elementary School","Teachers","High Poverty",116,85,73
"2017-18","Clayton County","Harper Elementary School","Teachers","Total",116,85,73
"2017-18","Clayton County","Hawthorne Elementary School","Leaders","High Poverty",3,0,0
"2017-18","Clayton County","Hawthorne Elementary School","Teachers","High Poverty",107,67,63
"2017-18","Clayton County","Hawthorne Elementary School","Teachers","Total",107,67,63
"2017-18","Clayton County","Haynie Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Haynie Elementary School","Teachers","High Poverty",105,80,76
"2017-18","Clayton County","Haynie Elementary School","Teachers","Total",105,80,76
"2017-18","Clayton County","Huie Elementary School","Leaders","High Poverty",1.5,0.5,33
"2017-18","Clayton County","Huie Elementary School","Teachers","High Poverty",86.5,58.5,68
"2017-18","Clayton County","Huie Elementary School","Teachers","Total",86.5,58.5,68
"2017-18","Clayton County","James Jackson Elementary School","Leaders","High Poverty",3,0,0
"2017-18","Clayton County","James Jackson Elementary School","Teachers","High Poverty",107,65,61
"2017-18","Clayton County","James Jackson Elementary School","Teachers","Total",107,65,61
"2017-18","Clayton County","Jonesboro High School","Leaders","High Poverty",4,2,50
"2017-18","Clayton County","Jonesboro High School","Teachers","High Poverty",131,80,61
"2017-18","Clayton County","Jonesboro High School","Teachers","Total",131,80,61
"2017-18","Clayton County","Jonesboro Middle School","Leaders","High Poverty",3,1,33
"2017-18","Clayton County","Jonesboro Middle School","Teachers","High Poverty",107,80,75
"2017-18","Clayton County","Jonesboro Middle School","Teachers","Total",107,80,75
"2017-18","Clayton County","Kemp Elem School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Kemp Elem School","Teachers","High Poverty",84,63,75
"2017-18","Clayton County","Kemp Elem School","Teachers","Total",84,63,75
"2017-18","Clayton County","Kemp Primary","Leaders","High Poverty",2,1,50
"2017-18","Clayton County","Kemp Primary","Teachers","High Poverty",69.5,39,56
"2017-18","Clayton County","Kemp Primary","Teachers","Total",69.5,39,56
"2017-18","Clayton County","Kendrick Middle School","Leaders","High Poverty",3,0,0
"2017-18","Clayton County","Kendrick Middle School","Teachers","High Poverty",90,55,61
"2017-18","Clayton County","Kendrick Middle School","Teachers","Total",90,55,61
"2017-18","Clayton County","Kilpatrick Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Kilpatrick Elementary School","Teachers","High Poverty",86.5,56,65
"2017-18","Clayton County","Kilpatrick Elementary School","Teachers","Total",86.5,56,65
"2017-18","Clayton County","Lake City Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Clayton County","Lake City Elementary School","Teachers","High Poverty",74,64,86
"2017-18","Clayton County","Lake City Elementary School","Teachers","Total",74,64,86
"2017-18","Clayton County","Lake Ridge Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Lake Ridge Elementary School","Teachers","High Poverty",88,62,70
"2017-18","Clayton County","Lake Ridge Elementary School","Teachers","Total",88,62,70
"2017-18","Clayton County","Lee Street Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Lee Street Elementary School","Teachers","High Poverty",91,79,87
"2017-18","Clayton County","Lee Street Elementary School","Teachers","Total",91,79,87
"2017-18","Clayton County","Lovejoy High School","Leaders","High Poverty",4.5,3.5,78
"2017-18","Clayton County","Lovejoy High School","Teachers","High Poverty",213.5,154,72
"2017-18","Clayton County","Lovejoy High School","Teachers","Total",213.5,154,72
"2017-18","Clayton County","Lovejoy Middle School","Leaders","High Poverty",3,1,33
"2017-18","Clayton County","Lovejoy Middle School","Teachers","High Poverty",72.5,56,77
"2017-18","Clayton County","Lovejoy Middle School","Teachers","Total",72.5,56,77
"2017-18","Clayton County","M. D. Roberts Middle School","Leaders","High Poverty",4,2,50
"2017-18","Clayton County","M. D. Roberts Middle School","Teachers","High Poverty",92.5,51,55
"2017-18","Clayton County","M. D. Roberts Middle School","Teachers","Total",92.5,51,55
"2017-18","Clayton County","Martha Ellen Stilwell School for the Performing Arts","Leaders","High Poverty",2.5,1.5,60
"2017-18","Clayton County","Martha Ellen Stilwell School for the Performing Arts","Teachers","High Poverty",69,49,71
"2017-18","Clayton County","Martha Ellen Stilwell School for the Performing Arts","Teachers","Total",69,49,71
"2017-18","Clayton County","Martin Luther King, Jr. Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Martin Luther King, Jr. Elementary School","Teachers","High Poverty",74,48,65
"2017-18","Clayton County","Martin Luther King, Jr. Elementary School","Teachers","Total",74,48,65
"2017-18","Clayton County","Morrow Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Morrow Elementary School","Teachers","High Poverty",79.5,50,63
"2017-18","Clayton County","Morrow Elementary School","Teachers","Total",79.5,50,63
"2017-18","Clayton County","Morrow High School","Leaders","High Poverty",5,3,60
"2017-18","Clayton County","Morrow High School","Teachers","High Poverty",194,148,76
"2017-18","Clayton County","Morrow High School","Teachers","Total",194,148,76
"2017-18","Clayton County","Morrow Middle School","Leaders","High Poverty",3,2,67
"2017-18","Clayton County","Morrow Middle School","Teachers","High Poverty",105,73,70
"2017-18","Clayton County","Morrow Middle School","Teachers","Total",105,73,70
"2017-18","Clayton County","Mount Zion Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Mount Zion Elementary School","Teachers","High Poverty",81.5,59,72
"2017-18","Clayton County","Mount Zion Elementary School","Teachers","Total",81.5,59,72
"2017-18","Clayton County","Mount Zion High School","Leaders","High Poverty",4,1,25
"2017-18","Clayton County","Mount Zion High School","Teachers","High Poverty",164,117,71
"2017-18","Clayton County","Mount Zion High School","Teachers","Total",164,117,71
"2017-18","Clayton County","Mount Zion Primary","Leaders","High Poverty",2,1,50
"2017-18","Clayton County","Mount Zion Primary","Teachers","High Poverty",58,33,57
"2017-18","Clayton County","Mount Zion Primary","Teachers","Total",58,33,57
"2017-18","Clayton County","Mundy's Mill High School","Leaders","High Poverty",5,1,20
"2017-18","Clayton County","Mundy's Mill High School","Teachers","High Poverty",192.5,153.5,80
"2017-18","Clayton County","Mundy's Mill High School","Teachers","Total",192.5,153.5,80
"2017-18","Clayton County","Mundys Mill Middle School","Leaders","High Poverty",3,0,0
"2017-18","Clayton County","Mundys Mill Middle School","Teachers","High Poverty",98.5,72.5,74
"2017-18","Clayton County","Mundys Mill Middle School","Teachers","Total",98.5,72.5,74
"2017-18","Clayton County","North Clayton High School","Leaders","High Poverty",4,1.5,38
"2017-18","Clayton County","North Clayton High School","Teachers","High Poverty",171.5,149,87
"2017-18","Clayton County","North Clayton High School","Teachers","Total",171.5,149,87
"2017-18","Clayton County","North Clayton Middle School","Leaders","High Poverty",3,1,33
"2017-18","Clayton County","North Clayton Middle School","Teachers","High Poverty",98,80,82
"2017-18","Clayton County","North Clayton Middle School","Teachers","Total",98,80,82
"2017-18","Clayton County","Northcutt Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Northcutt Elementary School","Teachers","High Poverty",93.5,75,80
"2017-18","Clayton County","Northcutt Elementary School","Teachers","Total",93.5,75,80
"2017-18","Clayton County","Oliver Elementary School","Leaders","High Poverty",2,0.5,25
"2017-18","Clayton County","Oliver Elementary School","Teachers","High Poverty",77,52,68
"2017-18","Clayton County","Oliver Elementary School","Teachers","Total",77,52,68
"2017-18","Clayton County","Perry Career Academy - Eula Wilburn Ponds Perry Center for Learning","Leaders","High Poverty",1,1,100
"2017-18","Clayton County","Perry Career Academy - Eula Wilburn Ponds Perry Center for Learning","Teachers","High Poverty",41,23,56
"2017-18","Clayton County","Perry Career Academy - Eula Wilburn Ponds Perry Center for Learning","Teachers","Total",41,23,56
"2017-18","Clayton County","Pointe South Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Pointe South Elementary School","Teachers","High Poverty",100,78,78
"2017-18","Clayton County","Pointe South Elementary School","Teachers","Total",100,78,78
"2017-18","Clayton County","Pointe South Middle School","Leaders","High Poverty",3,2,67
"2017-18","Clayton County","Pointe South Middle School","Teachers","High Poverty",97.5,71,73
"2017-18","Clayton County","Pointe South Middle School","Teachers","Total",97.5,71,73
"2017-18","Clayton County","Rex Mill Middle School","Leaders","High Poverty",4,0,0
"2017-18","Clayton County","Rex Mill Middle School","Teachers","High Poverty",109,81,74
"2017-18","Clayton County","Rex Mill Middle School","Teachers","Total",109,81,74
"2017-18","Clayton County","River's Edge Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","River's Edge Elementary School","Teachers","High Poverty",59.5,32,54
"2017-18","Clayton County","River's Edge Elementary School","Teachers","Total",59.5,32,54
"2017-18","Clayton County","Riverdale Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Riverdale Elementary School","Teachers","High Poverty",111,81,73
"2017-18","Clayton County","Riverdale Elementary School","Teachers","Total",111,81,73
"2017-18","Clayton County","Riverdale High School","Leaders","High Poverty",4,1,25
"2017-18","Clayton County","Riverdale High School","Teachers","High Poverty",161,122,76
"2017-18","Clayton County","Riverdale High School","Teachers","Total",161,122,76
"2017-18","Clayton County","Riverdale Middle School","Leaders","High Poverty",3,0,0
"2017-18","Clayton County","Riverdale Middle School","Teachers","High Poverty",93.5,69,74
"2017-18","Clayton County","Riverdale Middle School","Teachers","Total",93.5,69,74
"2017-18","Clayton County","Roberta T. Smith Elementary School","Leaders","High Poverty",3,1,33
"2017-18","Clayton County","Roberta T. Smith Elementary School","Teachers","High Poverty",96,61,64
"2017-18","Clayton County","Roberta T. Smith Elementary School","Teachers","Total",96,61,64
"2017-18","Clayton County","Sequoyah Middle School","Leaders","High Poverty",3,1,33
"2017-18","Clayton County","Sequoyah Middle School","Teachers","High Poverty",113,96,85
"2017-18","Clayton County","Sequoyah Middle School","Teachers","Total",113,96,85
"2017-18","Clayton County","Suder Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Suder Elementary School","Teachers","High Poverty",98,77,79
"2017-18","Clayton County","Suder Elementary School","Teachers","Total",98,77,79
"2017-18","Clayton County","Swint Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Clayton County","Swint Elementary School","Teachers","High Poverty",95.5,68,71
"2017-18","Clayton County","Swint Elementary School","Teachers","Total",95.5,68,71
"2017-18","Clayton County","Tara Elementary School","Leaders","High Poverty",2,2,100
"2017-18","Clayton County","Tara Elementary School","Teachers","High Poverty",84.5,54.5,64
"2017-18","Clayton County","Tara Elementary School","Teachers","Total",84.5,54.5,64
"2017-18","Clayton County","Thurgood Marshall Elementary School","Leaders","High Poverty",2.5,0.5,20
"2017-18","Clayton County","Thurgood Marshall Elementary School","Teachers","High Poverty",113,86,76
"2017-18","Clayton County","Thurgood Marshall Elementary School","Teachers","Total",113,86,76
"2017-18","Clayton County","Unidos Dual Language School","Leaders","High Poverty",2,1,50
"2017-18","Clayton County","Unidos Dual Language School","Teachers","High Poverty",59.5,46,77
"2017-18","Clayton County","Unidos Dual Language School","Teachers","Total",59.5,46,77
"2017-18","Clayton County","West Clayton Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Clayton County","West Clayton Elementary School","Teachers","High Poverty",76.5,61,80
