sys_sch,SystemId,systemname,schoolname,SchoolId,gradecluster,Phone_Number,Street,City,State,Zip_Code,DistrictWebsite,total_enroll,Grades,Grade,SingleScore,enroll_percent_asian,enroll_percent_native,enroll_percent_black,enroll_percent_hispanic,enroll_percent_multiracial,enroll_percent_white,enroll_percent_ed,enroll_percent_swd,enroll_percent_lep,Four_Year_Graduation_Rate,CollegeEnrollment,Mobility,PPE,rtc20
6442050,644,DeKalb County,Allgood Elementary School,2050,E,678.676.5102,659 Allgood Road,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,583,K-5,,,13,0,77,7,1,1,99,6.6999998,23,,,13.9,,
6442054,644,DeKalb County,Columbia High School,2054,H,678.874.0802,2106 Columbia Drive,Decatur,GA,30032,http://www.dekalb.k12.ga.us/,1002,9-12,,,0,0,96,2,1,1,99,14.6,1,77,,24.4,,
6442055,644,DeKalb County,Druid Hills High School,2055,H,678.874.6302,1798 Haygood Dr N,Atlanta,GA,30307,http://www.dekalb.k12.ga.us/,1445,9-12,,,12,0,40,14,4,29,37,13,14,85.80000000000001,,13.2,,
6442056,644,DeKalb County,Fernbank Elementary School,2056,E,678.874.9302,157 Heaton Park Dr,Atlanta,GA,30307,http://www.dekalb.k12.ga.us/,811,K-5,,,19,1,22,6,5,48,22,9.1000004,12,,,11.7,,
6442058,644,DeKalb County,Henderson Mill Elementary School,2058,E,678.874.3102,2408 Henderson Mill Road NE,Atlanta,GA,30345,http://www.dekalb.k12.ga.us/,568,K-5,,,5,0,24,50,3,18,65,6.3000002,43,,,15.3,,
6442059,644,DeKalb County,Indian Creek Elementary School,2059,E,678.676.5702,724 N. Indian Creek Drive,Clarkston,GA,30021,http://www.dekalb.k12.ga.us/,1035,K-5,,,58,1,32,3,1,6,99,2.4000001,77,,,20.5,,
6442061,644,DeKalb County,McLendon Elementary School,2061,E,678.676.5902,3169 Hollywood Drive,Decatur,GA,30033,http://www.dekalb.k12.ga.us/,392,K-5,,,20,1,52,19,2,7,99,18.6,37,,,20.3,,
6442062,644,DeKalb County,Midvale Elementary School,2062,E,678.874.3402,3836 Midvale Road,Tucker,GA,30084,http://www.dekalb.k12.ga.us/,436,K-5,,,4,0,44,24,5,23,58,18.700001,21,,,16.1,,
6442065,644,DeKalb County,Cary Reynolds Elementary School,2065,E,678.676.6802,3498 Pine Street,Doraville,GA,30340,http://www.dekalb.k12.ga.us/,820,K-5,,,9,1,2,88,0,0,93,5.4000001,84,,,14.9,,
6442068,644,DeKalb County,Stone Mountain Elementary School,2068,E,678.676.4702,6720 James B. Rivers Drive,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,603,K-5,,,3,1,83,8,3,3,99,7.0999999,8,,,41,,
644214,644,DeKalb County,Dunwoody Elementary School,214,E,678.875.4002,1923 Womack Road Drive,Dunwoody,GA,30338,http://www.dekalb.k12.ga.us/,1239,K-5,,,36,1,16,9,5,34,10,8.3999996,16,,,20.9,,
644215,644,DeKalb County,Museum School Avondale Estates,215,M,(404) 289-0320,923 Forrest Blvd,Decatur,GA,30030,http://www.dekalb.k12.ga.us/,598,K-8,,,3,0,29,7,5,56,23,9.6000004,3,,,3.8,,
644272,644,DeKalb County,Rockbridge Elementary School,272,E,678.676.6102,445 Halwick Way,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,1109,K-5,,,5,1,82,7,4,1,99,9.8000002,13,,,29.1,,
644275,644,DeKalb County,Cedar Grove Elementary School,275,E,678.874.3902,2330 River Road,Ellenwood,GA,30294,http://www.dekalb.k12.ga.us/,606,K-5,,,0,0,92,5,2,1,99,13.2,4,,,22,,
644276,644,DeKalb County,Stone Mountain High School,276,H,678.676.6302,4555 Central Drive,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,1350,9-12,,,10,0,77,9,1,2,99,12.2,20,69.90000000000001,,27,,
644288,644,DeKalb County,Kittredge Magnet School,288,M,678.874.6602,1663 E. Nancy Creek Drive,Atlanta,GA,30319,http://www.dekalb.k12.ga.us/,484,4-6,,,16,0,14,5,9,57,10,2.5,4,,,1,,
644290,644,DeKalb County,Sequoyah Middle School,290,M,678.676.7902,3456 Aztec Road,Atlanta,GA,30340,http://www.dekalb.k12.ga.us/,2129,6-8,,,3,0,3,92,0,1,85,10.7,81,,,17.9,,
644291,644,DeKalb County,Salem Middle School,291,M,678.676.9402,5333 Salem Road,Lithonia,GA,30038,http://www.dekalb.k12.ga.us/,1244,6-8,,,0,0,94,3,2,1,99,14.4,2,,,29.1,,
644293,644,DeKalb County,Shadow Rock Elementary School,293,E,678.676.3902,1040 Kingway Drive,Lithonia,GA,30058,http://www.dekalb.k12.ga.us/,638,K-5,,,2,0,88,7,1,1,99,9.1999998,5,,,26.5,,
644297,644,DeKalb County,"Edward L. Bouie, Sr. Elementary School",297,E,678.676.8202,5100 Rock Springs Rd,Lithonia,GA,30038,http://www.dekalb.k12.ga.us/,587,K-5,,,0,0,96,2,2,0,72,4.3000002,1,,,3.4,,
644301,644,DeKalb County,Columbia Middle School,301,M,(678) 875-0502,3001 Columbia Dr,Decatur,GA,30034,http://www.dekalb.k12.ga.us/,999,6-8,,,0,0,96,2,1,0,99,15.4,1,,,29.2,,
644305,644,DeKalb County,Oakview Elementary,305,E,678.875.1302,3574 Oakvale Road,Decatur,GA,30034,http://www.dekalb.k12.ga.us/,878,K-5,,,1,1,94,3,1,0,99,11.3,2,,,28,,
6443050,644,DeKalb County,Ashford Park Elementary School,3050,E,678.676.6702,2968 Cravenridge Drive NE,Atlanta,GA,30319,http://www.dekalb.k12.ga.us/,750,K-5,,,7,0,12,12,7,62,10,6.8000002,6,,,6.2,,
6443051,644,DeKalb County,Briarlake Elementary School,3051,E,678.874.2502,3590 Lavista Road,Decatur,GA,30033,http://www.dekalb.k12.ga.us/,419,K-5,,,6,0,29,17,7,41,27,17.299999,8,,,6.7,,
6443052,644,DeKalb County,Canby Lane Elementary School,3052,E,678.874.0602,4150 Green Hawk Trail,Decatur,GA,30035,http://www.dekalb.k12.ga.us/,613,K-5,,,2,0,89,7,1,0,99,16.200001,5,,,30.8,,
6443053,644,DeKalb County,Chesnut Elementary School,3053,E,678.676.7102,4576 N. Peachtree Road,Dunwoody,GA,30338,http://www.dekalb.k12.ga.us/,472,K-3,,,13,1,27,27,6,27,41,17.6,23,,,11.5,,
6443055,644,DeKalb County,Dunaire Elementary School,3055,E,678.676.5502,651 S. Indian Creek Drive,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,559,K-5,,,22,1,64,5,3,5,99,5.9000001,40,,,31.7,,
6443056,644,DeKalb County,Flat Shoals Elementary School,3056,E,678.874.4602,3226 Flat Shoals Road,Decatur,GA,30034,http://www.dekalb.k12.ga.us/,661,K-5,,,0,0,96,2,1,0,99,7.4000001,1,,,52.2,,
6443057,644,DeKalb County,Hambrick Elementary School,3057,E,678.676.5602,1101 Hambrick Road,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,609,K-5,,,19,1,65,9,3,3,99,11.6,24,,,21.6,,
6443059,644,DeKalb County,Jolly Elementary School,3059,E,678.676.5802,1070 Otello Avenue,Clarkston,GA,30021,http://www.dekalb.k12.ga.us/,796,K-5,,,39,0,48,7,1,5,99,4.6999998,65,,,20,,
6443060,644,DeKalb County,Lakeside High School,3060,H,678.874.6702,3801 Briarcliff Road NE,Atlanta,GA,30345,http://www.dekalb.k12.ga.us/,2212,9-12,,,6,1,23,36,2,33,39,9.6000004,15,84.90000000000001,,11.7,,
6443063,644,DeKalb County,Oak Grove Elementary School,3063,E,678.874.7402,1857 Oak Grove Road NE,Atlanta,GA,30345,http://www.dekalb.k12.ga.us/,473,K-5,,,14,0,11,7,7,61,8,16.1,4,,,3.5,,
6443064,644,DeKalb County,Pleasantdale Elementary School,3064,E,678.874.3502,3680 Pleasantdale Road,Doraville,GA,30340,http://www.dekalb.k12.ga.us/,704,K-5,,,1,1,31,63,1,3,86,12.4,52,,,29.5,,
6443065,644,DeKalb County,Rock Chapel Elementary School,3065,E,678.676.3802,1130 Rock Chapel Road,Lithonia,GA,30058,http://www.dekalb.k12.ga.us/,587,K-5,,,0,1,91,5,2,1,87,9.1999998,1,,,26.9,,
6443067,644,DeKalb County,Smoke Rise Elementary School,3067,E,678.874.3602,1991 Silver Hill Road,Stone Mountain,GA,30087,http://www.dekalb.k12.ga.us/,493,K-5,,,7,1,47,33,5,7,73,10.6,37,,,17.8,,
6443069,644,DeKalb County,Toney Elementary School,3069,E,678.874.2102,2701 Oakland Terrace,Decatur,GA,30032,http://www.dekalb.k12.ga.us/,346,K-5,,,0,0,93,3,2,2,99,8.6999998,1,,,35.9,,
6443070,644,DeKalb County,McNair High School,3070,H,678.874.4902,1804 Bouldercrest Road SE,Atlanta,GA,30316,http://www.dekalb.k12.ga.us/,757,9-12,,,1,0,94,3,1,1,99,17.299999,2,63.90000000000001,,36.6,,
644309,644,DeKalb County,Wadsworth Magnet School for High Achievers,309,E,678.874.2402,3039 Santa Monica Drive,Decatur,GA,30032,http://www.dekalb.k12.ga.us/,149,4-6,,,4,0,84,5,2,5,53,2.7,8,,,2.1,,
644311,644,DeKalb County,Leadership Preparatory Academy,311,E,404.665.3103,6400 Woodrow Road,Lithonia,GA,30058,http://www.dekalb.k12.ga.us/,465,K-8,,,0,0,96,3,0,0,65,4.5999999,0,,,6.7,,
644314,644,DeKalb County,GLOBE Academy Charter School I,314,M,404.464.7040,2225 Heritage Drive NE,Atlanta,GA,30359,http://www.dekalb.k12.ga.us/,1000,K-8,,,5,0,27,14,7,46,15,9.3999996,4,,,2.4,,
644315,644,DeKalb County,Tapestry Public Charter School,315,H,470-268-6403,3130 Raymond Drive,Atlanta,GA,30340,http://www.dekalb.k12.ga.us/,267,6-12,,,2,0,39,16,2,42,21,47.900002,10,86.2,,3.4,,
644375,644,DeKalb County,Fairington Elementary School,375,E,678.676.8702,5505 Phillip Bradley Drive,Lithonia,GA,30038,http://www.dekalb.k12.ga.us/,726,K-5,,,0,1,93,4,2,1,99,5.5,2,,,51,,
644397,644,DeKalb County,Stephenson Middle School,397,M,678.676.4402,922 Stephenson Road,Stone Mountain,GA,30087,http://www.dekalb.k12.ga.us/,1080,6-8,,,1,0,92,6,1,1,75,12.5,4,,,17.2,,
644399,644,DeKalb County,Robert Shaw Theme School,399,E,678.676.6002,385 Glendale Road Road,Scottdale,GA,30079,http://www.dekalb.k12.ga.us/,416,K-5,,,4,0,93,2,0,0,99,7.6999998,26,,,.7000000000000001,,
644401,644,DeKalb County,Mary McLeod Bethune Middle School,401,M,678.875.0302,5200 Covington Highway,Decatur,GA,30035,http://www.dekalb.k12.ga.us/,928,6-8,,,2,1,89,7,1,1,99,17.4,7,,,33.2,,
6444051,644,DeKalb County,Briar Vista Elementary School,4051,E,678.874.5902,1131 Briar Vista Terrace NE,Atlanta,GA,30324,http://www.dekalb.k12.ga.us/,422,K-5,,,12,0,35,30,2,20,44,8.8999996,27,,,14.2,,
6444052,644,DeKalb County,Murphey Candler Elementary School,4052,E,678.676.9102,6775 S. Goddard Road,Lithonia,GA,30038,http://www.dekalb.k12.ga.us/,612,K-5,,,0,0,93,4,2,1,99,8.3999996,2,,,36.4,,
6444053,644,DeKalb County,Clarkston High School,4053,H,678.676.5302,618 N. Indian Creek Drive,Clarkston,GA,30021,http://www.dekalb.k12.ga.us/,1627,9-12,,,32,0,57,4,1,5,99,10.5,54,56.6,,20.6,,
6444054,644,DeKalb County,Cross Keys High School,4054,H,678.874.6102,1626 N. Druid Hills Road,Atlanta,GA,30319,http://www.dekalb.k12.ga.us/,1746,9-12,,,5,0,4,90,0,0,72,8.1999998,52,61.2,,15.3,,
6444058,644,DeKalb County,Hightower Elementary School,4058,E,678.676.7302,4236 Tilly Mill Road,Doraville,GA,30360,http://www.dekalb.k12.ga.us/,850,K-5,,,4,0,4,89,0,2,87,6.9000001,78,,,22,,
6444059,644,DeKalb County,Kelley Lake Elementary School,4059,E,678.874.4802,2590 Kelly Lake Rd,Decatur,GA,30032,http://www.dekalb.k12.ga.us/,433,K-5,,,0,0,93,4,2,1,99,18.4,1,,,49.40000000000001,,
644406,644,DeKalb County,Chamblee Middle School,406,M,678.874.8202,3601 Sexton Woods Drive,Chamblee,GA,30341,http://www.dekalb.k12.ga.us/,1036,6-8,,,12,0,22,18,5,44,24,7.8000002,11,,,5.800000000000001,,
6444060,644,DeKalb County,Laurel Ridge Elementary School,4060,E,678.874.6902,1215 Balsam Drive,Decatur,GA,30033,http://www.dekalb.k12.ga.us/,429,K-5,,,12,1,19,19,8,42,31,11.5,20,,,11,,
6444062,644,DeKalb County,Montclair Elementary School,4062,E,(678) 874-7302,1680 Clairmont Pl NE,Atlanta,GA,30329,http://www.dekalb.k12.ga.us/,770,K-5,,,0,0,5,93,1,0,99,7.4000001,87,,,22.2,,
6444063,644,DeKalb County,Oakcliff Elementary School,4063,E,(678) 676-3102,3150 Willow Oak Way,Atlanta,GA,30340,http://www.dekalb.k12.ga.us/,670,K-5,,,14,0,6,78,1,1,92,6.8000002,66,,,3.2,,
6444064,644,DeKalb County,Rainbow Elementary School,4064,E,678.874.1702,2801 Kelley Chapel Road,Decatur,GA,30034,http://www.dekalb.k12.ga.us/,438,K-5,,,1,0,92,3,2,2,99,15,3,,,32.8,,
6444065,644,DeKalb County,Rowland Elementary School,4065,E,678.676.6202,1317 S. Indian Creek Drive,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,565,K-5,,,7,1,78,11,2,1,99,10,16,,,31.4,,
6444067,644,DeKalb County,Snapfinger Elementary School,4067,E,678.874.1802,1365 Snapfinger Road,Decatur,GA,30032,http://www.dekalb.k12.ga.us/,731,K-5,,,0,1,95,2,1,1,99,9.3999996,1,,,45.6,,
6444068,644,DeKalb County,Stoneview Elementary School,4068,E,678.676.3202,2629 Huber Street,Lithonia,GA,30058,http://www.dekalb.k12.ga.us/,994,K-5,,,1,0,87,10,2,0,99,7.1999998,8,,,37.6,,
6444069,644,DeKalb County,Towers High School,4069,H,678.874.2202,3919 Brookcrest Circle,Decatur,GA,30032,http://www.dekalb.k12.ga.us/,866,9-12,,,3,0,88,8,1,1,99,14.1,6,59.5,,26,,
644407,644,DeKalb County,Dekalb Early College Academy,407,H,678.875.2402,1701 Mountain Industrial Boulevard,Clarkston,GA,30083,http://www.dekalb.k12.ga.us/,301,9-12,,,4,0,84,9,2,1,62,1.3,4,100,,1,,
644409,644,DeKalb County,Ronald E McNair Discover Learning Academy Elementary School,409,E,678.875.3402,2162 Second Avenue,Decatur,GA,30032,http://www.dekalb.k12.ga.us/,684,K-5,,,0,0,93,4,1,2,99,7.1999998,2,,,25.9,,
644410,644,DeKalb County,DeKalb School of the Arts,410,M,678.676.2502,1192 Clarendon Avenue,Avondale Estates,GA,30002,http://www.dekalb.k12.ga.us/,437,8-12,,,2,0,58,1,4,34,25,4.1999998,0,100,,1.2,,
644475,644,DeKalb County,Bob Mathis Elementary School,475,E,678.874.5802,3505 Boring Road,Decatur,GA,30034,http://www.dekalb.k12.ga.us/,436,K-5,,,1,0,94,3,2,1,99,16.299999,2,,,29.9,,
644497,644,DeKalb County,Stephenson High School,497,H,678.676.4202,701 Stephenson Road,Stone Mountain,GA,30087,http://www.dekalb.k12.ga.us/,1504,9-12,,,1,0,94,4,1,1,69,11.8,2,83.2,,13.9,,
644500,644,DeKalb County,DeKalb Alternative School,500,H,678.676.2302,5855 Memorial Drive,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,516,6-12,,,1,2,85,10,1,1,99,20.9,9,8.200000000000001,,304.5,,
6445016,644,DeKalb County,Coralwood Education Center,5016,E,678.874.6002,2477 Coralwood Drive,Decatur,GA,30033,http://www.dekalb.k12.ga.us/,83,K,,,10,1,27,5,7,49,19,43.200001,1,,,3.7,,
644503,644,DeKalb County,East DeKalb Special Education Center,503,H,678.676.1200,1701 Mountain Industrial Boulevard,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,24,4-12,,,0,0,54,4,4,38,100,100,0,,,150,,
6445050,644,DeKalb County,Avondale Elementary School,5050,E,678.676.5202,8 Lakeshore Drive,Avondale Estates,GA,30002,http://www.dekalb.k12.ga.us/,444,K-5,,,6,1,81,4,2,6,99,10.9,9,,,20.3,,
6445052,644,DeKalb County,Chamblee Charter High School,5052,H,678.676.6902,3688 Chamblee-Dunwoody Road,Chamblee,GA,30341,http://www.dekalb.k12.ga.us/,1858,9-12,,,13,0,21,29,3,33,36,8.1999998,14,77.60000000000001,,6.800000000000001,,
6445055,644,DeKalb County,Dunwoody High School,5055,H,678.874.8502,5035 Vermack Road,Dunwoody,GA,30338,http://www.dekalb.k12.ga.us/,2352,9-12,,,7,0,15,30,2,45,28,9.1999998,16,89.5,,9.5,,
6445057,644,DeKalb County,Hawthorne Elementary School,5057,E,678.874.2802,2535 Caladium Drive NE,Atlanta,GA,30345,http://www.dekalb.k12.ga.us/,396,K-5,,,1,0,29,43,4,22,57,14.8,32,,,15,,
6445058,644,DeKalb County,Huntley Hills Elementary School,5058,E,678.676.7402,2112 Seaman Circle,Chamblee,GA,30341,http://www.dekalb.k12.ga.us/,502,K-5,,,13,0,23,42,3,18,62,13.2,40,,,13.4,,
6445059,644,DeKalb County,Kingsley Elementary School,5059,E,678.874.8902,2051 Brendon Drive,Dunwoody,GA,30338,http://www.dekalb.k12.ga.us/,444,K-5,,,4,1,9,59,4,24,57,17.9,47,,,15.7,,
644506,644,DeKalb County,Stone Mountain Middle School,506,M,678.676.4802,4301 Sarr Parkway,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,1289,6-8,,,8,1,78,11,1,1,99,13.9,19,,,26,,
6445062,644,DeKalb County,Montgomery Elementary School,5062,E,678.676.7502,3995 Ashford-Dunwoody Road,Atlanta,GA,30319,http://www.dekalb.k12.ga.us/,822,K-5,,,9,0,13,9,7,62,8,7.8000002,2,,,4.5,,
6445064,644,DeKalb County,Redan Elementary School,5064,E,678.676.3502,1914 Stone Mountain-Lithonia Road,Lithonia,GA,30058,http://www.dekalb.k12.ga.us/,658,K-5,,,0,1,94,4,1,0,99,11.7,2,,,29.5,,
6445065,644,DeKalb County,Sagamore Hills Elementary School,5065,E,678.874.7502,1865 Alderbrook Road NE,Atlanta,GA,30345,http://www.dekalb.k12.ga.us/,434,K-5,,,5,0,15,20,7,52,26,14.6,11,,,9.5,,
6445067,644,DeKalb County,Southwest DeKalb High School,5067,H,678.874.1902,2863 Kelley Chapel Road,Decatur,GA,30034,http://www.dekalb.k12.ga.us/,1383,9-12,,,1,0,97,1,1,0,70,11.4,1,86.10000000000001,,17,,
644507,644,DeKalb County,The Champion Middle Theme School,507,M,678.875.1502,5265 Mimosa Drive,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,780,6-8,,,0,0,97,1,0,0,70,5.5,5,,,2.1,,
644510,644,DeKalb County,Margaret Harris Comprehensive School,510,H,(678) 874-7002,1634 Knob Hill Dr NE,Atlanta,GA,30329,http://www.dekalb.k12.ga.us/,77,K-12,,,7,0,68,14,1,10,7,100,6,,,11.3,,
644575,644,DeKalb County,Stone Mill Elementary School,575,E,678.676.4602,4900 Sheila Lane,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,688,K-5,,,2,0,81,14,2,1,99,8,16,,,35.6,,
644597,644,DeKalb County,Miller Grove Middle School,597,M,(678) 676-8902,2215 Miller Rd,Decatur,GA,30035,http://www.dekalb.k12.ga.us/,1000,6-8,,,0,0,93,4,2,0,99,11.5,3,,,26.8,,
644605,644,DeKalb County,Tucker Middle School,605,M,678.875.0902,2160 Idlewood Road,Tucker,GA,30084,http://www.dekalb.k12.ga.us/,1375,6-8,,,10,0,57,20,3,10,70,10.1,35,,,12.8,,
644610,644,DeKalb County,"Arabia Mountain High School - Academy of Engineering, Medicine and Environm",610,H,678.875.3602,6610 Browns Mill Road,Lithonia,GA,30038,http://www.dekalb.k12.ga.us/,1230,9-12,,,1,0,96,2,1,0,55,3.5999999,1,99.7,,3.6,,
644675,644,DeKalb County,Woodridge Elementary School,675,E,678.874.0202,4120 Cedar Ridge Trail,Stone Mountain,GA,30087,http://www.dekalb.k12.ga.us/,607,K-5,,,2,0,89,6,2,0,99,8.1000004,7,,,43.90000000000001,,
644705,644,DeKalb County,DeKalb PATH Academy Charter School,705,M,404.846.3242,3007 Hermance Drive,Atlanta,GA,30319,http://www.dekalb.k12.ga.us/,378,5-8,,,5,0,15,80,0,0,96,8.1999998,68,,,3.8,,
644797,644,DeKalb County,Henderson Middle School,797,M,678.874.2902,2830 Henderson Mill Road,Chamblee,GA,30341,http://www.dekalb.k12.ga.us/,1631,6-8,,,4,0,21,46,3,25,53,13.9,30,,,13.5,,
644805,644,DeKalb County,International Community School,805,E,404.499.8969,2418 Wood Trail Lane,Decatur,GA,30033,http://www.dekalb.k12.ga.us/,425,K-5,,,36,0,37,4,2,20,71,3.9000001,47,,,11,,
644810,644,DeKalb County,Elizabeth Andrews High School,810,H,678.676.2602,1701 Mountain Industrial Boulevard,Stone Mountain,GA,30083,http://www.dekalb.k12.ga.us/,626,10-12,,,4,0,76,17,1,2,55,8,18,15.9,,106.3,,
644897,644,DeKalb County,Druid Hills Middle School,897,M,678.874.7602,3100 Mount Olive Drive,Decatur,GA,30033,http://www.dekalb.k12.ga.us/,1026,6-8,,,13,0,46,15,2,24,54,14.8,23,,,14.4,,
645103,645,Dodge County,Dodge County High School,103,H,(478) 374-7711,350 Pearl Bates Avenue,Eastman,GA,31023,http://www.dodge.k12.ga.us/,877,9-12,,,1,0,33,5,3,59,58,15.9,1,96,,8.4,,
645180,645,Dodge County,Dodge County Middle School,180,M,478-374-6492,5911 Oak Street,Eastman,GA,31023,http://www.dodge.k12.ga.us/,752,6-8,,,1,0,33,6,4,55,87,15.3,2,,,8.700000000000001,,
645191,645,Dodge County,South Dodge Elementary School,191,E,478-374-6691,"1118 McRae Highway,",Eastman,GA,31023,http://www.dodge.k12.ga.us/,727,K-5,,,0,0,43,3,6,48,87,15.4,2,,,12.9,,
645291,645,Dodge County,North Dodge Elementary School,291,E,478-374-6690,167 Orphans Cemetery Road,Eastman,GA,31023,http://www.dodge.k12.ga.us/,724,K-5,,,1,0,29,4,4,62,87,11.3,5,,,12.3,,
645292,645,Dodge County,DAC (Dodge County Achievement Center),292,M,(478) 374-4756,1400 M.L.K. Jr Dr,Eastman,GA,31023,http://www.dodge.k12.ga.us/,87,6-12,,,0,2,37,0,0,61,98,26.799999,0,33.3,,192.5,,
646104,646,Dooly County,Dooly County Elementary School,104,E,229-645-3421,11949 Highway 41,Pinehurst,GA,31070,https://www.dooly.k12.ga.us/,579,K-5,,,1,0,68,20,3,8,100,8.6000004,16,,,15.6,,
646182,646,Dooly County,Dooly County High School,182,H,229-268-8181,715 Third Street North,Vienna,GA,31092,https://www.dooly.k12.ga.us/,344,9-12,,,1,0,76,15,1,7,100,4.5999999,5,90.2,,12,,
646204,646,Dooly County,Dooly County Middle School,204,M,(770)606-6283,3963 Greenbriar Rd,Pinehurst,GA,31070,https://www.dooly.k12.ga.us/,298,6-8,,,1,0,67,21,2,9,100,8.1000004,11,,,12.1,,
646205,646,Dooly County,Dooly County Prep Academy,205,H,229-268-7751,200 9th St,Vienna,GA,31092,https://www.dooly.k12.ga.us/,27,6-12,,,0,0,90,10,0,0,100,20,0,,,333.3,,
647101,647,Dougherty County,Albany Middle School,101,M,(229) 431-3325,1700 Cordell Ave,Albany,GA,31705,https://www.docoschools.org/,1076,6-8,,,0,0,93,2,1,4,100,14.2,1,,,15.9,,
647102,647,Dougherty County,Live Oak Elementary School,102,E,(229) 431-1209,4529 Gillionville Rd,Albany,GA,31721,https://www.docoschools.org/,768,K-5,,,0,0,89,3,3,5,100,10.7,3,,,14.9,,
647103,647,Dougherty County,Robert A. Cross Middle Magnet,103,M,(229) 431-3362,324 Lockett Station Rd,Albany,GA,31707,https://www.docoschools.org/,712,6-8,,,1,0,85,5,2,7,100,.69999999,3,,,2.3,,
647105,647,Dougherty County,Robert H Harvey Elementary School,105,E,229.431.3367,1305 E. Second Ave.,Albany,GA,31705,https://www.docoschools.org/,646,K-5,,,0,0,98,0,1,1,100,8,0,,,18,,
6471058,647,Dougherty County,Monroe High School,1058,H,(229) 431-3316,900 Lippitt Dr,Albany,GA,31701,https://www.docoschools.org/,1155,9-12,,,0,0,96,1,1,1,100,13.5,1,79.60000000000001,,12,,
647106,647,Dougherty County,Radium Springs Middle School,106,M,(229) 431-3346,2600 Radium Springs Rd,Albany,GA,31705,https://www.docoschools.org/,962,6-8,,,0,0,90,7,1,2,100,15.4,6,,,15.7,,
647199,647,Dougherty County,Lamar Reese School of the Arts,199,E,(229) 431-3495,1215 Lily Pond Rd,Albany,GA,31701,https://www.docoschools.org/,424,K-5,,,0,0,99,0,1,0,100,6.1999998,0,,,1.4,,
647205,647,Dougherty County,Lincoln Elementary Magnet School,205,E,(229) 431-1216,518 W Society Ave,Albany,GA,31701,https://www.docoschools.org/,596,K-5,,,0,0,96,1,1,2,100,1.6,1,,,3,,
6472052,647,Dougherty County,Dougherty Comprehensive High School,2052,H,(229) 431-3310,1800 Pearce Ave,Albany,GA,31705,https://www.docoschools.org/,1166,9-12,,,0,1,90,4,2,3,100,11.1,2,82.90000000000001,,13.9,,
6472058,647,Dougherty County,Morningside Elementary School,2058,E,(229) 431-3387,120 Sunset Ln,Albany,GA,31705,https://www.docoschools.org/,444,K-5,,,0,0,93,3,1,3,100,9,2,,,14.2,,
647299,647,Dougherty County,Alice Coachman Elementary School,299,E,229.431.3488,1425 Oakridge Dr,Albany,GA,31707,https://www.docoschools.org/,536,K-5,,,0,0,94,1,1,5,100,11.3,0,,,13.6,,
6473058,647,Dougherty County,Northside Elementary School,3058,E,(229) 431-3390,901 14th Ave,Albany,GA,31701,https://www.docoschools.org/,375,K-5,,,0,0,91,0,3,6,100,22,0,,,22.4,,
6473062,647,Dougherty County,Turner Elementary School,3062,E,(229) 431-3406,2001 Leonard Ave,Albany,GA,31705,https://www.docoschools.org/,497,K-5,,,0,0,88,7,2,3,100,15.3,6,,,14,,
647399,647,Dougherty County,"Martin Luther King, Jr. Elementary School",399,E,(229) 438-3502,3125 Martin Luther King Jr Dr,Albany,GA,31701,https://www.docoschools.org/,505,K-5,,,0,0,96,0,2,2,100,10.9,0,,,13.3,,
6474054,647,Dougherty County,Lake Park Elementary School,4054,E,(229) 431-3370,605 Meadowlark Dr,Albany,GA,31707,https://www.docoschools.org/,597,K-5,,,2,0,49,3,6,40,100,7.4000001,3,,,11.8,,
6474056,647,Dougherty County,Merry Acres Middle School,4056,M,(229) 431-3338,1601 Florence Dr,Albany,GA,31707,https://www.docoschools.org/,830,6-8,,,0,0,92,1,2,5,100,15.4,1,,,15.4,,
6474060,647,Dougherty County,Sherwood Acres Elementary School,4060,E,(229) 431-3397,2201 Doncaster Dr,Albany,GA,31707,https://www.docoschools.org/,647,K-5,,,1,0,84,5,3,7,100,13,4,,,17.5,,
6474062,647,Dougherty County,Westover High School,4062,H,(229) 431-3320,2600 Partridge Dr,Albany,GA,31707,https://www.docoschools.org/,1398,9-12,,,1,0,87,2,2,8,100,8.6999998,1,88.10000000000001,,11.7,,
6475056,647,Dougherty County,International Studies Elementary Charter School,5056,E,(229) 431-3384,2237 Cutts Dr,Albany,GA,31705,https://www.docoschools.org/,429,K-5,,,1,0,71,21,1,5,100,7.5999999,18,,,5.5,,
6475058,647,Dougherty County,Radium Springs Elementary School,5058,E,(229) 431-3395,2400 Roxanna Rd,Albany,GA,31705,https://www.docoschools.org/,551,K-5,,,0,0,80,10,4,7,100,12.6,7,,,17.4,,
